id,date,author,quote
7312,2020-10-27,"Serge","""The key has been delivered, I repeat."""
7319,2020-11-03,"Serge","""For awhile I wasn't powerful, and it felt bad, now I feel good....any questions?"""
7379,2020-12-01,"Serge","""Butt pancakes, that's a thing I just said."""
7389,2020-12-08,"Serge","""That's all I say now, just 'hacker voice'."""
7390,2020-12-08,"Serge","""Fool me once, shame on James. Fool me twice, also shame on James."""
7397,2020-12-15,"Serge","""Go do an absolute burgle."""
7398,2020-12-15,"Serge","""We don't have to make the ground out of gold, just the walls."""
7406,2020-12-22,"Serge","""If I saw a fire you know what I'd do? I'd pull out a marshmallow."""
7407,2020-12-22,"Serge","""I'm ready to say yes to whatever you want to do."""
7408,2020-12-22,"Serge","""My main job is babysitter."""
7419,2020-12-26,"Serge","""I have enough hit points to tank this aubergine"""
7426,2020-12-30,"Serge","""Stop getting married, I can't afford to treat myself to things."""
7427,2020-12-30,"Serge","""Instead of getting married I just went on a cruise ship. Twice!"""
7440,2021-01-05,"Serge","""I'm glad you found joy in a very you way."""
7441,2021-01-05,"Serge","""I love the sentence 'Grass positive'."""
7444,2021-01-12,"Serge","""The long haired hippy witch hut need not apply."""
7446,2021-01-12,"Serge","""Man coffee is so good."""
7448,2021-01-12,"Serge","""I feel like every time we come back to this, we get a little worse at minecraft."""
7518,2021-03-09,"Serge","""Why are you making these decisions?"""
7519,2021-03-09,"Serge","""Yes children, continue to fight for my affection."""
7541,2021-03-24,"Serge","""I chose spiders over this."""
7570,2021-04-13,"Serge","""I just legitimately like witch farms."""
7571,2021-04-13,"Serge","""Tell me that dispensers aren't poging."""
7572,2021-04-13,"Serge","""The squid would have been in flux at that time."""
7578,2021-04-21,"Serge","""Wordplay only works if the words don't play!"""
7609,2021-05-19,"Serge","""Respect the Oxford comma."""
7612,2021-05-22,"Serge","""Quick update: I think I am bleeding."""
7666,2021-06-29,"Serge","""When you get to the coast, look for the boat."""
7681,2021-07-06,"Serge","""Am I James's Freakazoid?"""
7682,2021-07-06,"Serge","""Let's go attack and despawn god."""
7683,2021-07-06,"Serge","""I'm the brain whisperer."""
7684,2021-07-06,"Serge, on James and RebelliousUno","""Chat is like talking to MENSA compared to these two."""
7697,2021-07-13,"Serge","""I don't do math before 11am."""
7699,2021-07-20,"Serge","""Oh I'm the biggest dumb dumb who ever dumb dumbed."""
7707,2021-07-27,"Serge","""Thanks, GG, text me about poutine."""
7713,2021-08-03,"Serge","""Rock stars take care of business before they party."""
7728,2021-08-17,"Serge","""Stop trying to make Poutine happen."""
